group_window_id,video_id,context,window_start_sec,window_end_sec,active_tracks,mean_distance_5s_px,median_distance_5s_px,mean_distance_last_1s_px,mean_speed_px_s,mean_immobile_ratio,mean_y_norm,std_y_norm_between_tracks,mean_x_norm,std_x_norm_between_tracks
V4_BREEDING:GW000092000,V4_BREEDING,BREEDING_PARENTAL_CARE,92.0,97.0,1,24.73169980809419,24.73169980809419,3.1304404880147465,4.99309192530492,0.9436619718309859,0.4348951978839081,0.0,0.5946524846803892,0.0
V4_BREEDING:GW000093000,V4_BREEDING,BREEDING_PARENTAL_CARE,93.0,98.0,1,23.71001826636511,23.71001826636511,3.2861254381448197,4.7868242649408845,0.9507042253521126,0.4337021933291062,0.0,0.5942082451773689,0.0
V4_BREEDING:GW000094000,V4_BREEDING,BREEDING_PARENTAL_CARE,94.0,99.0,1,38.87865524922073,38.87865524922073,22.471756327937378,7.794336244804436,0.8881118881118881,0.4315527241539072,0.0,0.5946920848555036,0.0
V4_BREEDING:GW000095000,V4_BREEDING,BREEDING_PARENTAL_CARE,95.0,100.0,1,118.99318604976358,118.99318604976358,83.35788800341,24.023577879470693,0.704225352112676,0.4255770243131197,0.0,0.6006586003136802,0.0
V4_BREEDING:GW000096000,V4_BREEDING,BREEDING_PARENTAL_CARE,96.0,101.0,1,431.52206508465247,431.52206508465247,311.386426235071,87.12014764387922,0.5,0.4381683558572978,0.0,0.6282667498488527,0.0
V4_BREEDING:GW000097000,V4_BREEDING,BREEDING_PARENTAL_CARE,97.0,102.0,1,587.4460086426423,587.4460086426423,149.5492107237604,117.77032121297292,0.3146853146853147,0.5011562429092549,0.0,0.6729635861184862,0.0
V4_BREEDING:GW000098000,V4_BREEDING,BREEDING_PARENTAL_CARE,98.0,103.0,1,610.9783488945629,610.9783488945629,23.644820234274913,123.35064245779978,0.18309859154929578,0.5655323863307358,0.0,0.7178365740742717,0.0
V4_BREEDING:GW000099000,V4_BREEDING,BREEDING_PARENTAL_CARE,99.0,104.0,1,629.5243124036056,629.5243124036056,41.467947829281336,127.09489381789841,0.14084507042253522,0.634579203123257,0.0,0.7652738289399581,0.0
V4_BREEDING:GW000100000,V4_BREEDING,BREEDING_PARENTAL_CARE,100.0,105.0,1,562.1172034472091,562.1172034472091,19.103451797277536,112.69243919501636,0.2517482517482518,0.7083081111863807,0.0,0.8101983108454279,0.0
V4_BREEDING:GW000101000,V4_BREEDING,BREEDING_PARENTAL_CARE,101.0,106.0,1,265.65013886561445,265.65013886561445,23.77008074665341,53.63220375544344,0.33098591549295775,0.7623443543494166,0.0,0.8344117968232482,0.0
