window_start_sec,window_end_sec,window_mid_sec,n_points,coverage_ratio,observed_ratio,interpolated_ratio,distance_5s_px,distance_last_1s_px,net_displacement_px,path_efficiency,mean_speed_px_s,median_speed_px_s,max_speed_px_s,speed_std_px_s,mean_speed_norm_s,max_speed_norm_s,mean_abs_accel_px_s2,mean_abs_turn_rad,immobile_ratio,x_mean_norm,x_std_norm,x_range_norm,y_mean_norm,y_std_norm,y_range_norm,bbox_area_mean_norm,window_id,video_id,context,pred_track_id,trajectory_uid
101.0,106.0,103.5,143,1.0,1.0,0.0,645.5427320974374,109.34192319292472,281.82338527822213,0.4365681329298648,129.48206995673942,99.98183550923335,750.549289901721,110.11640794786233,0.08092629372296216,0.4690933061885756,1484.114562418351,0.25440069078220456,0.09154929577464789,0.46389191317391565,0.05790858698991066,0.26705762147903445,0.8766322811722477,0.011956900211217503,0.04556929270426424,0.0167907901453463,V5_NORMAL:T89:S0:W000101000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
102.0,107.0,104.5,142,1.0,1.0,0.0,567.9990828603921,134.1482754497957,65.03167844101438,0.11449257649065331,114.73647519732233,99.81672146354919,361.4087424619172,78.19281061615335,0.07171029699832648,0.22588046403869824,1175.6632353157886,0.24987023382128604,0.0851063829787234,0.4496358156204224,0.038923792301743726,0.15301257371902466,0.8816405390349913,0.009891697530657528,0.037323061625162746,0.017159310350353518,V5_NORMAL:T89:S0:W000102000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
103.0,108.0,105.5,143,1.0,1.0,0.0,443.69871616947825,35.214411439373436,164.506748733035,0.37076228246330756,88.99647591121726,78.9706942212625,266.97360762933664,64.48762276663919,0.05562279744451079,0.16685850476833541,1076.1824110153937,0.36153532664294546,0.14084507042253522,0.4744769844141873,0.03979262466866073,0.1440452218055726,0.8818547548947636,0.00934466726784491,0.0302957852681478,0.017503296492102662,V5_NORMAL:T89:S0:W000103000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
104.0,109.0,106.5,142,1.0,1.0,0.0,486.1198598748625,147.58634961754086,86.13737802078906,0.17719370289245667,98.19677694649882,79.8697998027996,460.98899683639996,78.70180921848947,0.06137298559156178,0.28811812302275,1183.8288138427713,0.38021062495018754,0.14184397163120568,0.4808268720835027,0.03787185771754233,0.12730164527893073,0.8813803126554536,0.009233417523971972,0.0302957852681478,0.017498200244102854,V5_NORMAL:T89:S0:W000104000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
105.0,110.0,107.5,143,1.0,1.0,0.0,506.39532297661776,64.31269141293629,31.30820580198698,0.06182562196261161,101.57207474458257,90.92844736112127,460.98899683639996,78.35070211898365,0.06348254671536412,0.28811812302275,1146.562424092831,0.34708329246289654,0.13380281690140844,0.46903441919313443,0.044464079888725826,0.1273765802383423,0.8840099365839037,0.009108658285201477,0.0302957852681478,0.01798972232576263,V5_NORMAL:T89:S0:W000105000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
106.0,111.0,108.5,142,1.0,1.0,0.0,479.5699047419817,85.47133757705299,86.0093098353464,0.179346762557215,96.87367839348364,78.61365827463142,460.98899683639996,77.46508322155925,0.06054604899592728,0.28811812302275,1147.2599036468278,0.3524991966256901,0.14184397163120568,0.47892525053360085,0.04183392244116691,0.1273765802383423,0.8835083043631252,0.008899416990030096,0.0302957852681478,0.018895530156684093,V5_NORMAL:T89:S0:W000106000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
107.0,112.0,109.5,143,1.0,1.0,0.0,405.3005969081406,62.27983335212992,108.3984150913587,0.26745190093052507,81.29463416288073,63.49338544277734,460.98899683639996,72.27309778614611,0.05080914635180045,0.28811812302275,1026.4377270023297,0.38310503576165245,0.16901408450704225,0.47510266704159176,0.040204745102475556,0.1273765802383423,0.8836178890752904,0.00859552440626957,0.026616223653157633,0.0182062907370807,V5_NORMAL:T89:S0:W000107000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
108.0,113.0,110.5,142,1.0,1.0,0.0,435.7283398564718,69.47387264764812,152.3419642428776,0.3496260176537032,88.01763130839608,73.96091353071918,460.98899683639996,71.04842852176074,0.05501101956774754,0.28811812302275,994.9529264614958,0.28291439862864937,0.11347517730496454,0.45387326940684247,0.03357651565671328,0.11880999803543096,0.8879905400701534,0.0048499600776552056,0.020753542582193973,0.017503483034095803,V5_NORMAL:T89:S0:W000108000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
109.0,114.0,111.5,142,1.0,1.0,0.0,383.5442864196103,88.5039545936405,59.78592583936328,0.15587750347545387,77.47639183543393,70.92817857866707,256.5389020906412,54.61953962876427,0.048422744897146215,0.16033681380665077,980.5321321910938,0.27785669566130106,0.12056737588652482,0.44423742596532256,0.032528515632231116,0.1147506356239319,0.8875119500316925,0.004898023513529054,0.017933336893717455,0.01760541478033756,V5_NORMAL:T89:S0:W000109000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
110.0,115.0,112.5,142,1.0,1.0,0.0,378.2623974752922,61.34666974501906,38.41328600411886,0.1015519550991795,76.40944412699295,62.54667836715319,292.10978725080855,59.609876822368534,0.04775590257937058,0.18256861703175534,1026.4788977219625,0.3282796583092089,0.1347517730496454,0.4515949203094966,0.030845940734173277,0.1147506356239319,0.886642965128724,0.00489729586992068,0.017933336893717455,0.017596035636711325,V5_NORMAL:T89:S0:W000110000,V5_NORMAL,NORMAL,89,V5_NORMAL:T89:S0
