trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T150:S0,V3_FEEDING,150,0,85,85,0,2.9533781085044097,6.116728579069572,5.928124512709832,12.129989541025864
V3_FEEDING:T150:S1,V3_FEEDING,150,1,34,34,0,1.160255685483861,4.461336045727757,3.8619259267447847,11.285523471192052
V3_FEEDING:T152:S1,V3_FEEDING,152,1,61,59,2,2.109555791788864,5.129505288489325,4.755001696346423,16.788312815986913
V3_FEEDING:T153:S0,V3_FEEDING,153,0,392,392,0,13.747271909824036,0.9579975600153374,0.7318874108735626,6.279451765001095
V3_FEEDING:T154:S0,V3_FEEDING,154,0,655,655,0,22.994158130498533,2.2186517795743934,1.7195246510516438,16.6931341939815
V3_FEEDING:T154:S1,V3_FEEDING,154,1,57,57,0,1.9689187390029304,2.5065387167050006,1.9366686972738418,5.2759246826171875
V3_FEEDING:T154:S2,V3_FEEDING,154,2,153,153,0,5.344208005865099,1.8019637304067035,1.3776745453721027,6.7356277142755125
V3_FEEDING:T157:S0,V3_FEEDING,157,0,16,16,0,0.527388947947216,1.1216854108979188,0.7607590259768704,1.8486697784713886
V3_FEEDING:T158:S0,V3_FEEDING,158,0,586,586,0,20.56816896994134,2.6047999230887524,2.3695946117217184,16.02065518870263
V3_FEEDING:T15:S0,V3_FEEDING,15,0,18,18,0,0.5977074743401758,6.503602231039984,4.5340407080269935,12.68077812346416
V3_FEEDING:T160:S0,V3_FEEDING,160,0,69,69,0,2.390829897360703,7.048172330356941,6.771873241125043,19.340658745533858
V3_FEEDING:T160:S1,V3_FEEDING,160,1,665,665,0,23.34575076246334,3.7544212111269455,3.3974581534368324,24.57530465729852
V3_FEEDING:T160:S2,V3_FEEDING,160,2,102,101,1,3.5510855828445784,4.854139109578766,3.8760941008162555,22.633612520489812
V3_FEEDING:T161:S0,V3_FEEDING,161,0,147,147,0,5.133252426686212,1.2906109269648935,0.8207214533979492,5.1534090730253075
V3_FEEDING:T161:S1,V3_FEEDING,161,1,25,25,0,0.8438223167155456,1.6787342805835355,1.0966593679942387,4.7518213164052145
V3_FEEDING:T162:S0,V3_FEEDING,162,0,312,312,0,10.934530854105574,1.128756352645121,0.701137939307252,4.638641357421875
V3_FEEDING:T164:S0,V3_FEEDING,164,0,6,6,0,0.17579631598239587,0.806578255684386,0.35213398983790584,0.4834504003243032
V3_FEEDING:T164:S1,V3_FEEDING,164,1,656,656,0,23.02931739369501,2.497027485753181,2.2020209261709307,11.850114101609284
V3_FEEDING:T165:S0,V3_FEEDING,165,0,261,261,0,9.14140843108504,1.788316446832038,1.5076748220916802,5.416365014309513
V3_FEEDING:T165:S1,V3_FEEDING,165,1,5,5,0,0.14063705278591954,5.97742882154542,2.6858097887427164,3.631734921536134
V3_FEEDING:T166:S0,V3_FEEDING,166,0,159,159,0,5.555163585043999,1.629025919935791,1.2651370237949284,5.703872147864281
V3_FEEDING:T166:S1,V3_FEEDING,166,1,172,172,0,6.012234006598234,4.092798559158402,3.7775451452622546,20.41835375449389
V3_FEEDING:T167:S0,V3_FEEDING,167,0,113,113,0,3.9378374780058607,3.939450259144529,3.836615127963111,8.157890409780451
V3_FEEDING:T169:S0,V3_FEEDING,169,0,123,123,0,4.289430109970681,0.6688601002666595,0.41752150649275016,1.5710570838060298
V3_FEEDING:T171:S0,V3_FEEDING,171,0,135,135,0,4.7113412683284395,2.210312377094763,1.8428243700515823,10.2569036493135
V3_FEEDING:T172:S0,V3_FEEDING,172,0,105,105,0,3.6565633724340074,3.1106381505403577,2.7914999976394883,13.900171465351695
V3_FEEDING:T173:S0,V3_FEEDING,173,0,51,51,0,1.757963159824044,2.642484220088378,2.278802104249709,5.182222631760325
V3_FEEDING:T174:S0,V3_FEEDING,174,0,24,22,2,0.8086630535190693,3.6478683988884297,2.4480755418335254,5.812973327111612
V3_FEEDING:T175:S0,V3_FEEDING,175,0,12,12,0,0.3867518951612965,4.576168621841884,3.292599374581967,5.928909463183701
V3_FEEDING:T176:S0,V3_FEEDING,176,0,137,135,2,4.781659794721406,2.375051444019696,1.9085802436818733,12.190361297061825
V3_FEEDING:T177:S0,V3_FEEDING,177,0,122,122,0,4.25427084677419,5.0008071347252905,4.797254891910637,16.322877658724174
V3_FEEDING:T177:S1,V3_FEEDING,177,1,10,10,0,0.3164333687683296,6.83420185261232,4.55074365817795,7.497749897895918
V3_FEEDING:T178:S0,V3_FEEDING,178,0,23,23,0,0.7735037903225788,2.4640175567203313,1.8495405990396347,4.729949951171875
V3_FEEDING:T179:S0,V3_FEEDING,179,0,104,104,0,3.621404109237531,1.236962041107859,0.7192752752989303,3.798884000495982
V3_FEEDING:T17:S0,V3_FEEDING,17,0,158,158,0,5.520004321847506,5.136760411755718,4.659923254789851,22.030785644159522
V3_FEEDING:T181:S0,V3_FEEDING,181,0,12,12,0,0.3867518951612965,1.6733196744956884,0.5693852874999158,1.6236701166554595
V3_FEEDING:T182:S0,V3_FEEDING,182,0,9,9,0,0.2812741055718533,4.27547577310253,2.4550161176054828,3.9374149995477112
V3_FEEDING:T183:S0,V3_FEEDING,183,0,12,12,0,0.3867518951612965,2.77108702845995,1.3345331554302795,2.9545011884649846
V3_FEEDING:T184:S0,V3_FEEDING,184,0,6,6,0,0.17579631598241008,4.736278018446325,2.818382251766517,7.785003662109375
V3_FEEDING:T18:S0,V3_FEEDING,18,0,32,32,0,1.0899371590909084,4.472235140655681,4.028349200583429,13.263211373474668
V3_FEEDING:T19:S0,V3_FEEDING,19,0,40,40,0,1.3712112646627563,5.033316390033873,4.164919159372968,15.993519048786068
V3_FEEDING:T1:S0,V3_FEEDING,1,0,9,9,0,0.28127410557184745,4.722213570602399,3.7334300294027876,12.002959376250242
V3_FEEDING:T20:S0,V3_FEEDING,20,0,61,61,0,2.109555791788856,5.591513999193233,4.729755407486757,34.35334365017078
V3_FEEDING:T22:S0,V3_FEEDING,22,0,79,78,1,2.7424225293255127,4.109514703462317,3.4086595868700065,15.844209996066876
V3_FEEDING:T25:S0,V3_FEEDING,25,0,37,37,0,1.2657334750733131,4.828780016029791,4.064161954676187,13.251152747378645
V3_FEEDING:T27:S0,V3_FEEDING,27,0,422,422,0,14.802049805718474,3.518709905346659,3.195355409240156,15.548658649286212
V3_FEEDING:T2:S0,V3_FEEDING,2,0,10,10,0,0.3164333687683284,13.321716020028234,11.327663279191693,19.258278683878803
V3_FEEDING:T2:S1,V3_FEEDING,2,1,48,48,0,1.6524853702346038,2.844967453743429,2.4983660587196486,5.849769908265691
V3_FEEDING:T2:S2,V3_FEEDING,2,2,47,47,0,1.617326107038123,2.8257403417091824,2.2242608120505944,8.95075520983424
V3_FEEDING:T2:S3,V3_FEEDING,2,3,48,45,3,1.6524853702346034,4.320802459561018,3.7952738850900434,9.668075291959891
V3_FEEDING:T30:S0,V3_FEEDING,30,0,126,126,0,4.394907899560117,3.7826524938920194,3.496701158885977,9.747058233250852
V3_FEEDING:T30:S2,V3_FEEDING,30,2,37,37,0,1.265733475073315,5.299646842409762,5.078986221481125,15.932026117661925
V3_FEEDING:T33:S0,V3_FEEDING,33,0,32,32,0,1.0899371590909093,3.5288059374851835,3.2949179794788654,10.89301841691626
V3_FEEDING:T33:S1,V3_FEEDING,33,1,6,6,0,0.17579631598240475,4.732631826472585,2.0884717442522787,3.759341289707478
